Year,COPD_Incidence_Rate_State,COPD_Death_Rate_State
2021,435.00365223774736,84.00385986416164
2022,437.9163997814337,85.3664870969881
2023,436.84517239730104,86.7182925138007
2024,436.0280174759291,86.72647761136163
2025,433.31116263930716,85.89912316912542
2026,434.8892579090656,85.89822623462584
2027,434.8014086953743,85.50618946893164
2028,437.537324627484,85.97870934242843
2029,438.74013030904723,86.16211358026925
2030,440.97762150982646,86.73063493231093
2031,442.02277819285075,87.02223003981959
2032,443.2852481023515,87.401584211169
2033,443.8458600415767,87.58351381765782
2034,444.42603338944366,87.76620516597832
2035,444.68563759417543,87.84755971736166
2036,444.9481062677265,87.9242081781782
2037,445.08670894270386,87.96094711216132
2038,445.2251733371123,87.99712487373351
2039,445.3145045737289,88.01919650611372
2040,445.3963753972253,88.04043680803228
2041,445.4538977069178,88.05551708814154
2042,445.50105711788024,88.06851122430837
2043,445.53443876024255,88.07790275363209
2044,445.5595227403658,88.08515301429992
2045,445.5772292610206,88.09028534125316
