smoke_estimate_annual,Year
38.62109226086082,2021
38.62109226086082,2022
38.62109226086082,2023
38.62109226086082,2024
38.62109226086082,2025
38.62109226086082,2026
38.62109226086082,2027
38.62109226086082,2028
38.62109226086082,2029
38.62109226086082,2030
38.62109226086082,2031
38.62109226086082,2032
38.62109226086082,2033
38.62109226086082,2034
38.62109226086082,2035
38.62109226086082,2036
38.62109226086082,2037
38.62109226086082,2038
38.62109226086082,2039
38.62109226086082,2040
38.62109226086082,2041
38.62109226086082,2042
38.62109226086082,2043
38.62109226086082,2044
38.62109226086082,2045
